"function_id","rva","guessed_name","backend","callers","callees","evidence","confidence","open_questions"
"PM62C_003E16B4","0x003E16B4","cmdline_get_a_anchor","common","unknown","GetCommandLineA","import callsite","strongly_inferred","Is this inside CLI parse dispatcher?"
"PM62C_003E16C1","0x003E16C1","cmdline_get_w_anchor","common","unknown","GetCommandLineW","import callsite","strongly_inferred","Is Unicode path normalized before option compare?"
"PM62C_003B16A7","0x003B16A7","option_compare_anchor_1","common","unknown","CompareStringW","import callsite","strongly_inferred","Does this compare CLI tokens or locale text?"
"PM62C_003F96DE","0x003F96DE","option_compare_anchor_2","common","unknown","CompareStringW","import callsite","strongly_inferred","Is this late-stage normalization or unrelated compare?"
"PM62C_001C1C37","0x001C1C37","ioctl_cluster_anchor_1","nvidia_or_lowlevel","unknown","DeviceIoControl","import callsite cluster","strongly_inferred","Which control code and buffer schema are used?"
"PM62C_001C44A1","0x001C44A1","ioctl_cluster_anchor_2","nvidia_or_lowlevel","unknown","DeviceIoControl","import callsite cluster","strongly_inferred","Same device handle as 0x001C1C37 cluster?"
"PM62C_001C6C1C","0x001C6C1C","ioctl_cluster_anchor_3","nvidia_or_lowlevel","unknown","DeviceIoControl","import callsite cluster","strongly_inferred","Is this read path, write path, or capability probe?"
"PM62C_0028CB1F","0x0028CB1F","ioctl_singleton_anchor","nvidia_or_lowlevel","unknown","DeviceIoControl","import callsite near CreateFileW pair","strongly_inferred","Potential vmr-related operation path?"
"PM62C_0028CACC","0x0028CACC","device_open_anchor_1","nvidia_or_lowlevel","unknown","CreateFileW","import callsite near DeviceIoControl singleton","strongly_inferred","Target device path string unresolved"
"PM62C_0028CC24","0x0028CC24","device_open_anchor_2","nvidia_or_lowlevel","unknown","CreateFileW","import callsite near DeviceIoControl singleton","strongly_inferred","Fallback/open-retry behavior?"
"PM62C_TR_01","0x001C4010..0x001C44E3","vmr_transport_candidate","nvidia_or_lowlevel","unknown","CreateFileA:2; DeviceIoControl:1","pdata-mapped import callsites","strongly_inferred","Requires code-flow confirmation for vmr linkage"
"PM62C_TR_02","0x001C1BB0..0x001C1CE0","vmr_transport_candidate","nvidia_or_lowlevel","unknown","DeviceIoControl:2","pdata-mapped import callsites","strongly_inferred","Requires code-flow confirmation for vmr linkage"
"PM62C_TR_03","0x001C6BB0..0x001C6C93","vmr_transport_candidate","nvidia_or_lowlevel","unknown","DeviceIoControl:2","pdata-mapped import callsites","strongly_inferred","Requires code-flow confirmation for vmr linkage"
"PM62C_TR_04","0x0028CA90..0x0028CB6B","vmr_transport_candidate","nvidia_or_lowlevel","unknown","DeviceIoControl:1; CreateFileW:1","pdata-mapped import callsites","strongly_inferred","Requires code-flow confirmation for vmr linkage"
"PM62C_TR_05","0x001C1CE0..0x001C1D98","vmr_transport_candidate","nvidia_or_lowlevel","unknown","DeviceIoControl:1","pdata-mapped import callsites","strongly_inferred","Requires code-flow confirmation for vmr linkage"
"PM62C_TR_06","0x001C1DA0..0x001C1E31","vmr_transport_candidate","nvidia_or_lowlevel","unknown","DeviceIoControl:1","pdata-mapped import callsites","strongly_inferred","Requires code-flow confirmation for vmr linkage"
"PM62C_TR_07","0x001C1ED0..0x001C1F62","vmr_transport_candidate","nvidia_or_lowlevel","unknown","DeviceIoControl:1","pdata-mapped import callsites","strongly_inferred","Requires code-flow confirmation for vmr linkage"
"PM62C_TR_08","0x001C1E40..0x001C1ECE","vmr_transport_candidate","nvidia_or_lowlevel","unknown","DeviceIoControl:1","pdata-mapped import callsites","strongly_inferred","Requires code-flow confirmation for vmr linkage"
"PM62C_PR_01","0x003E16B0..0x003E16D5","vmr_parser_candidate","common","unknown","GetCommandLineW:1; GetCommandLineA:1","pdata-mapped import callsites","strongly_inferred","Requires parser->config store confirmation"
"PM62C_PR_02","0x003B160C..0x003B16C8","vmr_parser_candidate","common","unknown","CompareStringW:1","pdata-mapped import callsites","strongly_inferred","Requires parser->config store confirmation"
"PM62C_PR_03","0x003F9610..0x003F96FF","vmr_parser_candidate","common","unknown","CompareStringW:1","pdata-mapped import callsites","strongly_inferred","Requires parser->config store confirmation"
